original_image_path,processed_image_path,true_label,baseline_pred,compressed_pred,baseline_correct,compressed_correct,prediction_match,baseline_confidence,compressed_confidence,baseline_time_ms,compressed_time_ms
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\1 no.jpeg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\1 no.jpg,0,0,0,1,1,1,0.0041247047483921,0.0390608645975589,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\10 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\10 no.jpg,0,0,0,1,1,1,0.0531448684632778,0.3265154659748077,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\11 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\11 no.jpg,0,0,0,1,1,1,0.0133623881265521,0.0374598391354084,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\12 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\12 no.jpg,0,0,1,1,0,0,0.0709905326366424,0.597393274307251,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\13 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\13 no.jpg,0,0,0,1,1,1,0.0012319472152739,0.0106280343607068,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\14 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\14 no.jpg,0,0,0,1,1,1,0.0399553067982196,0.0304141025990247,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\15 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\15 no.jpg,0,0,0,1,1,1,0.1434980481863021,0.2831982970237732,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\17 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\17 no.jpg,0,0,0,1,1,1,0.0548717826604843,0.4278750717639923,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\18 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\18 no.jpg,0,0,0,1,1,1,0.0771245062351226,0.0969483628869056,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\19 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\19 no.jpg,0,0,0,1,1,1,0.0428026169538497,0.0951465740799903,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\2 no.jpeg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\2 no.jpg,0,0,0,1,1,1,0.0646965131163597,0.2070939838886261,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\20 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\20 no.jpg,0,0,1,1,0,0,0.1663875430822372,0.5364866256713867,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\21 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\21 no.jpg,0,0,0,1,1,1,0.0159412585198879,0.1258744150400161,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\22 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\22 no.jpg,0,0,0,1,1,1,0.0275429245084524,0.0729712694883346,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\23 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\23 no.jpg,0,1,1,0,0,1,0.8252916932106018,0.8932235240936279,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\24 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\24 no.jpg,0,0,0,1,1,1,0.0171518195420503,0.1173515766859054,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\25 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\aggressive\no\25 no.jpg,0,0,0,1,1,1,0.1323693096637725,0.0096403108909726,0,0
