original_image_path,processed_image_path,true_label,baseline_pred,compressed_pred,baseline_correct,compressed_correct,prediction_match,baseline_confidence,compressed_confidence,baseline_time_ms,compressed_time_ms
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\1 no.jpeg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\1 no.jpg,0,0,0,1,1,1,0.0041247047483921,0.0798605233430862,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\10 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\10 no.jpg,0,0,0,1,1,1,0.0531448684632778,0.0871644467115402,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\11 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\11 no.jpg,0,0,0,1,1,1,0.0133623881265521,0.0342286117374897,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\12 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\12 no.jpg,0,0,0,1,1,1,0.0709905326366424,0.2502152323722839,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\13 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\13 no.jpg,0,0,0,1,1,1,0.0012319472152739,0.0035126414149999,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\14 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\14 no.jpg,0,0,0,1,1,1,0.0399553067982196,0.0285010393708944,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\15 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\15 no.jpg,0,0,0,1,1,1,0.1434980481863021,0.3349412977695465,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\17 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\17 no.jpg,0,0,0,1,1,1,0.0548717826604843,0.2271945029497146,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\18 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\18 no.jpg,0,0,0,1,1,1,0.0771245062351226,0.0438804440200328,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\19 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\intermediate\no\19 no.jpg,0,0,0,1,1,1,0.0428026169538497,0.0798397287726402,0,0
