original_image_path,processed_image_path,true_label,baseline_pred,compressed_pred,baseline_correct,compressed_correct,prediction_match,baseline_confidence,compressed_confidence,baseline_time_ms,compressed_time_ms
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\1 no.jpeg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\1 no.jpg,0,0,0,1,1,1,0.0041247047483921,0.070782221853733,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\10 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\10 no.jpg,0,0,0,1,1,1,0.0531448684632778,0.0697888061404228,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\11 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\11 no.jpg,0,0,0,1,1,1,0.0133623881265521,0.0192368850111961,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\12 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\12 no.jpg,0,0,0,1,1,1,0.0709905326366424,0.0301294866949319,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\13 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\13 no.jpg,0,0,0,1,1,1,0.0012319472152739,0.001961023081094,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\14 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\14 no.jpg,0,0,0,1,1,1,0.0399553067982196,0.023553404957056,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\15 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\15 no.jpg,0,0,0,1,1,1,0.1434980481863021,0.1650264114141464,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\17 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\17 no.jpg,0,0,0,1,1,1,0.0548717826604843,0.0940538495779037,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\18 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\18 no.jpg,0,0,0,1,1,1,0.0771245062351226,0.0669189244508743,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\19 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\19 no.jpg,0,0,0,1,1,1,0.0428026169538497,0.1490672677755355,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\2 no.jpeg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\2 no.jpg,0,0,0,1,1,1,0.0646965131163597,0.282184362411499,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\20 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\20 no.jpg,0,0,0,1,1,1,0.1663875430822372,0.1267265081405639,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\21 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\21 no.jpg,0,0,0,1,1,1,0.0159412585198879,0.0539731681346893,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\22 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\22 no.jpg,0,0,0,1,1,1,0.0275429245084524,0.027216900140047,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\23 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\23 no.jpg,0,1,1,0,0,1,0.8252916932106018,0.7066020965576172,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\24 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\24 no.jpg,0,0,0,1,1,1,0.0171518195420503,0.0502798333764076,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\25 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\25 no.jpg,0,0,0,1,1,1,0.1323693096637725,0.0181830003857612,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\26 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\26 no.jpg,0,0,0,1,1,1,0.0211453158408403,0.1081921681761741,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\27 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\27 no.jpg,0,0,0,1,1,1,0.0548717826604843,0.0940538495779037,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\28 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\28 no.jpg,0,0,0,1,1,1,0.1540124118328094,0.2559192776679992,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\29 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\29 no.jpg,0,0,0,1,1,1,0.0077271652407944,0.0312019251286983,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\3 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\3 no.jpg,0,0,0,1,1,1,0.1633611172437667,0.3212382793426513,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\30 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\30 no.jpg,0,1,0,0,1,0,0.586078941822052,0.3788185119628906,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\31 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\31 no.jpg,0,0,0,1,1,1,0.0069474689662456,0.0862675681710243,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\32 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\32 no.jpg,0,0,0,1,1,1,0.0496437586843967,0.1625555157661438,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\33 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\33 no.jpg,0,0,0,1,1,1,0.0124673126265406,0.0793699473142623,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\34 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\34 no.jpg,0,0,0,1,1,1,0.0398140326142311,0.1000500917434692,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\35 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\35 no.jpg,0,0,0,1,1,1,0.2317776083946228,0.0994614511728286,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\36 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\36 no.jpg,0,0,0,1,1,1,0.3314806520938873,0.4638412296772003,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\37 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\37 no.jpg,0,0,0,1,1,1,0.0054174670949578,0.0056201694533228,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\38 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\38 no.jpg,0,0,1,1,0,0,0.0438873097300529,0.5360957384109497,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\39 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\39 no.jpg,0,0,0,1,1,1,0.0081047434359788,0.060518741607666,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\4 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\4 no.jpg,0,0,0,1,1,1,0.0943662673234939,0.3143737018108368,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\40 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\40 no.jpg,0,0,0,1,1,1,0.0852376371622085,0.0881641283631324,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\41 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\41 no.jpg,0,0,0,1,1,1,0.0852376371622085,0.0881641283631324,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\42 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\42 no.jpg,0,0,0,1,1,1,0.0012319472152739,0.001961023081094,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\43 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\43 no.jpg,0,0,0,1,1,1,0.0235018506646156,0.0185026545077562,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\44no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\44no.jpg,0,0,0,1,1,1,0.2102202475070953,0.1331202089786529,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\45 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\45 no.jpg,0,1,0,0,1,0,0.6211099028587341,0.1773554235696792,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\46 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\46 no.jpg,0,0,0,1,1,1,0.0665816217660904,0.0666887834668159,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\47 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\47 no.jpg,0,0,0,1,1,1,0.0894976481795311,0.4093598425388336,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\48 no.jpeg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\48 no.jpg,0,0,0,1,1,1,0.0070295999757945,0.0094759864732623,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\49 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\49 no.jpg,0,0,0,1,1,1,0.0086912717670202,0.0824269652366638,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\5 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\5 no.jpg,0,0,0,1,1,1,0.0084696551784873,0.0519745871424675,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\50 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\50 no.jpg,0,0,1,1,0,0,0.3503656685352325,0.6615003943443298,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\6 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\6 no.jpg,0,0,0,1,1,1,0.068828210234642,0.078405313193798,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\7 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\7 no.jpg,0,0,0,1,1,1,0.3315606415271759,0.2993649542331695,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\8 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\8 no.jpg,0,0,1,1,0,0,0.0438873097300529,0.5360957384109497,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\9 no.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\9 no.jpg,0,0,0,1,1,1,0.0531448684632778,0.0697888061404228,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N1.JPG,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N1.jpg,0,1,1,0,0,1,0.7342265248298645,0.9214428067207336,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N11.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N11.jpg,0,0,0,1,1,1,0.2906080186367035,0.3182710707187652,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N15.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N15.jpg,0,1,0,0,1,0,0.5451692938804626,0.265898048877716,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N16.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N16.jpg,0,0,1,1,0,0,0.2126752734184265,0.5950806140899658,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N17.jpg,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N17.jpg,0,0,1,1,0,0,0.3567900955677032,0.5391356348991394,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N19.JPG,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N19.jpg,0,0,0,1,1,1,0.0747714266180992,0.1381082236766815,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N2.JPG,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N2.jpg,0,0,0,1,1,1,0.0266043171286582,0.0317277647554874,0,0
D:\IMAGE COMPRESSION PROJECT\brain_tumor_dataset\no\N20.JPG,D:\IMAGE COMPRESSION PROJECT\output\processed_datasets\light\no\N20.jpg,0,0,0,1,1,1,0.1144123524427414,0.1627594083547592,0,0
